epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.68644,1.90819,3.82722,1.88956,0.00342,0.49697,0.00952,0.003,1.43371,3.48988,1.51288,0.00011669,0.00011669,0.00011669
2,2.85971,1.31076,3.01769,1.39526,0.00645,0.975,0.20375,0.1498,0.95538,3.11977,1.19135,0.000249225,0.000249225,0.000249225
3,4.0099,1.10417,1.76895,1.29543,0.0068,0.98333,0.26388,0.21202,0.93388,3.06689,1.21662,0.000380879,0.000380879,0.000380879
4,5.15292,1.07146,1.46412,1.2163,0.00707,1,0.25508,0.18624,0.92209,3.05224,1.21766,0.000511654,0.000511654,0.000511654
5,6.27398,1.05872,1.35493,1.19714,0.9508,0.15278,0.38443,0.27937,1.00483,3.06988,1.25935,0.000641548,0.000641548,0.000641548
6,7.41069,1.02489,1.17044,1.16957,1,0.10282,0.62414,0.44089,1.05065,2.90744,1.35471,0.000770562,0.000770562,0.000770562
7,8.55658,1.02201,1.15449,1.17661,0.00691,0.85833,0.45216,0.31563,1.07414,3.03134,1.3695,0.000898696,0.000898696,0.000898696
8,9.68867,0.98437,1.13101,1.13811,0.84225,0.27167,0.63725,0.50271,0.99332,2.6778,1.1825,0.00102595,0.00102595,0.00102595
9,10.8332,1.00063,1.15094,1.13805,0.90302,0.23093,0.62545,0.48768,1.0033,2.70743,1.21868,0.00115232,0.00115232,0.00115232
10,11.9512,1.04023,1.14508,1.15581,0.74853,0.24056,0.67078,0.5109,1.16481,2.58067,1.30984,0.00127782,0.00127782,0.00127782
11,13.0981,1.03829,1.06639,1.13375,0.80215,0.51401,0.80687,0.62599,1.02061,2.05919,1.1512,0.00140243,0.00140243,0.00140243
12,14.2503,1.01381,1.01425,1.11216,0.9658,0.73333,0.85706,0.66616,1.05639,1.69548,1.14218,0.00152616,0.00152616,0.00152616
13,15.3893,1.015,1.04468,1.1446,0.87456,0.76174,0.90036,0.70715,0.99505,1.44529,1.12649,0.00160099,0.00160099,0.00160099
14,16.5344,1.00265,0.992,1.13266,0.96768,0.91591,0.96298,0.73969,0.94086,1.12507,1.08066,0.00159549,0.00159549,0.00159549
15,17.698,0.96743,0.96383,1.11475,0.93713,0.79767,0.97545,0.71236,1.04522,1.3051,1.1501,0.00158998,0.00158998,0.00158998
16,18.8072,0.94172,0.91274,1.09213,0.93655,0.95257,0.98622,0.73673,0.9086,1.06146,1.09481,0.00158448,0.00158448,0.00158448
17,19.9368,0.92688,0.90971,1.0913,0.96542,0.99696,0.99185,0.75479,0.86756,0.85653,1.0669,0.00157898,0.00157898,0.00157898
18,21.0769,0.94414,0.87915,1.11343,0.94791,0.98862,0.99313,0.77593,0.8718,0.82549,1.04836,0.00157348,0.00157348,0.00157348
19,22.2182,0.96424,0.91289,1.09215,0.96771,0.9925,0.99393,0.75361,0.84276,0.92873,1.05423,0.00156798,0.00156798,0.00156798
20,23.3439,0.96217,0.90254,1.10369,0.92384,0.92639,0.96905,0.74802,0.8572,0.78965,1.02977,0.00156248,0.00156248,0.00156248
21,24.4514,0.92451,0.85088,1.09452,0.93137,0.90058,0.97192,0.77714,0.79601,0.83347,1.0217,0.00155698,0.00155698,0.00155698
22,25.5807,0.89649,0.80717,1.06588,0.95382,0.97701,0.97889,0.74757,0.8468,0.68694,1.02722,0.00155148,0.00155148,0.00155148
23,26.6887,0.92536,0.81694,1.08215,0.95313,0.99167,0.98873,0.77064,0.79451,0.71008,1.03801,0.00154598,0.00154598,0.00154598
24,27.8238,0.93121,0.80424,1.08775,0.93276,0.96081,0.97674,0.74983,0.81469,0.83351,1.05047,0.00154047,0.00154047,0.00154047
25,28.9638,0.94338,0.80511,1.0975,0.94972,0.95472,0.9863,0.76867,0.83261,0.8149,1.04932,0.00153497,0.00153497,0.00153497
26,30.0872,0.89196,0.79563,1.08721,0.95823,0.94866,0.98003,0.76167,0.76415,0.87148,1.00179,0.00152947,0.00152947,0.00152947
27,31.2157,0.90297,0.79135,1.07931,0.95459,0.96856,0.97386,0.77788,0.74052,0.87061,1.00405,0.00152397,0.00152397,0.00152397
28,32.3368,0.92016,0.7734,1.09208,0.93182,0.98864,0.97263,0.76299,0.77309,0.76848,1.01089,0.00151847,0.00151847,0.00151847
29,33.4631,0.90471,0.76246,1.11119,0.97092,0.95029,0.98148,0.78756,0.74963,0.65999,0.9853,0.00151297,0.00151297,0.00151297
30,34.6123,0.91458,0.73899,1.07838,0.93392,0.94199,0.97269,0.77138,0.78426,0.79405,1.00167,0.00150747,0.00150747,0.00150747
31,35.7385,0.93057,0.81515,1.11192,0.97413,0.99741,0.9921,0.77108,0.75341,0.59162,0.99997,0.00150197,0.00150197,0.00150197
32,36.8567,0.90919,0.737,1.07308,0.96871,0.98333,0.99077,0.79651,0.71102,0.54287,0.99141,0.00149647,0.00149647,0.00149647
33,37.9847,0.91831,0.711,1.04989,0.95731,0.98669,0.98652,0.78167,0.77456,0.57076,1.00354,0.00149096,0.00149096,0.00149096
34,39.0913,0.90032,0.70484,1.06299,0.9629,0.98347,0.98887,0.79259,0.78585,0.61025,1.00638,0.00148546,0.00148546,0.00148546
35,40.2095,0.87961,0.67691,1.04166,0.96702,0.99888,0.99236,0.80565,0.70123,0.58846,0.9708,0.00147996,0.00147996,0.00147996
36,41.3371,0.85503,0.66683,1.04109,0.96901,0.99167,0.98522,0.78906,0.75345,0.59077,0.99364,0.00147446,0.00147446,0.00147446
37,42.4578,0.8477,0.65975,1.03188,0.96753,1,0.98986,0.78515,0.74524,0.57058,0.99059,0.00146896,0.00146896,0.00146896
38,43.5686,0.87973,0.67259,1.04092,0.95303,0.98786,0.98734,0.79913,0.73365,0.5736,0.96985,0.00146346,0.00146346,0.00146346
39,44.6762,0.83573,0.63705,1.02958,0.95146,0.99167,0.98833,0.80611,0.70336,0.56474,0.97386,0.00145796,0.00145796,0.00145796
40,45.7916,0.83436,0.64003,1.04427,0.94846,0.98497,0.97523,0.80399,0.72057,0.51467,0.96785,0.00145246,0.00145246,0.00145246
41,46.9047,0.80359,0.6336,1.0042,0.9565,1,0.98931,0.78045,0.771,0.54354,0.97654,0.00144696,0.00144696,0.00144696
42,48.0171,0.80453,0.61068,1.00424,0.9711,0.9992,0.9902,0.80174,0.71576,0.50598,0.96088,0.00144145,0.00144145,0.00144145
43,49.1257,0.79658,0.61087,1.01969,0.98609,1,0.99378,0.79941,0.78236,0.49598,0.97621,0.00143595,0.00143595,0.00143595
44,50.4642,0.79534,0.5977,1.01679,0.98669,1,0.995,0.79033,0.74253,0.50678,0.98547,0.00143045,0.00143045,0.00143045
45,51.5811,0.83968,0.61528,1.05338,0.97638,0.99167,0.99451,0.79891,0.717,0.5107,0.96699,0.00142495,0.00142495,0.00142495
46,52.6863,0.83035,0.6222,1.02515,0.95864,0.99167,0.9824,0.7839,0.72285,0.50953,0.97803,0.00141945,0.00141945,0.00141945
47,53.7907,0.79452,0.57254,1.01062,0.96497,0.98864,0.97533,0.78691,0.71156,0.54818,0.96398,0.00141395,0.00141395,0.00141395
48,54.8973,0.81263,0.62932,1.00934,0.9773,0.98864,0.98245,0.79032,0.69072,0.52477,0.962,0.00140845,0.00140845,0.00140845
49,56.0083,0.81512,0.58827,1.02742,0.98019,0.98864,0.98803,0.77298,0.68834,0.49932,0.96288,0.00140295,0.00140295,0.00140295
50,57.1232,0.84278,0.58973,1.01509,0.98026,0.98864,0.99075,0.77408,0.71156,0.52663,0.97369,0.00139745,0.00139745,0.00139745
51,58.2384,0.8423,0.60546,1.01464,0.97147,1,0.99411,0.79381,0.72872,0.55318,0.98091,0.00139195,0.00139195,0.00139195
52,59.3578,0.81729,0.57446,1.00761,0.98132,0.99892,0.99193,0.81179,0.69428,0.56449,0.95788,0.00138644,0.00138644,0.00138644
53,60.4892,0.81234,0.57916,1.03521,0.95442,0.99539,0.98939,0.80575,0.69664,0.59952,0.94591,0.00138094,0.00138094,0.00138094
54,61.5947,0.7742,0.55077,1.01748,0.95003,0.98864,0.98513,0.80266,0.6886,0.53923,0.95554,0.00137544,0.00137544,0.00137544
55,62.6984,0.78629,0.5483,1.00653,0.93574,0.98864,0.97827,0.7996,0.71811,0.5544,0.95725,0.00136994,0.00136994,0.00136994
56,63.797,0.80927,0.58634,1.02722,0.9657,0.98864,0.9767,0.75988,0.78537,0.53048,0.9919,0.00136444,0.00136444,0.00136444
57,64.8949,0.83775,0.59135,1.0436,0.98617,0.9803,0.9924,0.81451,0.68314,0.47671,0.93606,0.00135894,0.00135894,0.00135894
58,66.0088,0.83506,0.57886,1.02933,0.96978,0.98616,0.99249,0.80355,0.69391,0.49604,0.94698,0.00135344,0.00135344,0.00135344
59,67.12,0.77502,0.55626,0.9937,0.96599,0.92773,0.98417,0.7844,0.7458,0.55894,0.98182,0.00134794,0.00134794,0.00134794
60,68.2256,0.83415,0.56491,1.0248,0.95934,0.97107,0.98396,0.79138,0.72533,0.57459,0.94455,0.00134244,0.00134244,0.00134244
61,69.345,0.83032,0.56316,1.02582,0.96323,0.99943,0.99043,0.80385,0.70845,0.45117,0.94724,0.00133693,0.00133693,0.00133693
62,70.4553,0.80513,0.57131,1.01023,0.97332,0.99609,0.99402,0.78871,0.75754,0.4319,0.9574,0.00133143,0.00133143,0.00133143
63,71.5574,0.80802,0.56337,1.03986,0.98079,0.98158,0.99462,0.80873,0.71998,0.42451,0.94197,0.00132593,0.00132593,0.00132593
64,72.6596,0.83474,0.5619,1.02413,0.99078,0.9803,0.99462,0.80754,0.7193,0.43055,0.96642,0.00132043,0.00132043,0.00132043
65,73.7635,0.83039,0.56687,1.01838,0.99605,0.984,0.99478,0.79319,0.73232,0.42332,0.98643,0.00131493,0.00131493,0.00131493
66,74.8636,0.81724,0.54091,1.03989,0.99458,0.98814,0.99478,0.79369,0.72246,0.43332,0.98814,0.00130943,0.00130943,0.00130943
67,75.9715,0.80893,0.56254,1.00882,0.99899,0.99253,0.995,0.80282,0.70855,0.45369,0.96664,0.00130393,0.00130393,0.00130393
68,77.0713,0.7973,0.53741,1.02493,0.9902,0.99033,0.99352,0.79259,0.69404,0.47655,0.95332,0.00129843,0.00129843,0.00129843
69,78.1827,0.80404,0.54615,1.01829,0.98822,1,0.99352,0.79809,0.71209,0.47341,0.95987,0.00129293,0.00129293,0.00129293
70,79.2787,0.77381,0.55499,1.01565,0.97742,0.98951,0.99162,0.81618,0.67345,0.42872,0.93933,0.00128742,0.00128742,0.00128742
71,80.4017,0.77997,0.56124,0.99408,0.98355,0.98614,0.99394,0.81522,0.70265,0.45001,0.94238,0.00128192,0.00128192,0.00128192
72,81.5055,0.80112,0.55497,1.02456,0.98584,0.99167,0.99484,0.82021,0.6829,0.40861,0.94065,0.00127642,0.00127642,0.00127642
73,82.6088,0.74712,0.50805,0.9751,0.98096,0.9988,0.99384,0.82598,0.67584,0.43178,0.92789,0.00127092,0.00127092,0.00127092
74,83.7239,0.77634,0.5245,0.98987,0.97482,0.99869,0.99238,0.8182,0.66166,0.45486,0.91995,0.00126542,0.00126542,0.00126542
75,84.8287,0.75676,0.50877,1.00371,0.97495,0.99916,0.98507,0.81333,0.69277,0.44372,0.92872,0.00125992,0.00125992,0.00125992
76,85.9292,0.82775,0.53517,1.01069,0.97486,0.99278,0.97286,0.78642,0.67413,0.45885,0.93032,0.00125442,0.00125442,0.00125442
77,87.0545,0.78605,0.53857,1.00092,0.97433,0.99306,0.97238,0.77252,0.71661,0.50229,0.93704,0.00124892,0.00124892,0.00124892
78,88.1555,0.75946,0.50262,0.99111,0.97866,1,0.98379,0.78759,0.69723,0.54519,0.93341,0.00124342,0.00124342,0.00124342
79,89.2657,0.75365,0.49598,0.97813,0.98081,1,0.99075,0.80769,0.67047,0.56421,0.93717,0.00123791,0.00123791,0.00123791
80,90.3686,0.73746,0.49849,0.99369,0.98176,1,0.99311,0.79443,0.69617,0.55139,0.93828,0.00123241,0.00123241,0.00123241
81,91.4726,0.75902,0.50881,0.99934,0.9834,1,0.99287,0.81837,0.64816,0.46295,0.92032,0.00122691,0.00122691,0.00122691
82,92.582,0.7517,0.50145,1.00635,0.97575,1,0.99328,0.81526,0.70159,0.41139,0.93127,0.00122141,0.00122141,0.00122141
83,93.6853,0.70829,0.48356,0.99,0.97708,1,0.99308,0.82351,0.65148,0.3945,0.92441,0.00121591,0.00121591,0.00121591
84,94.8011,0.73689,0.48385,0.98409,0.98096,0.99968,0.99282,0.82331,0.65385,0.39886,0.9219,0.00121041,0.00121041,0.00121041
85,95.917,0.71276,0.49456,0.98257,0.97903,0.9934,0.98979,0.82447,0.67923,0.40795,0.92759,0.00120491,0.00120491,0.00120491
86,97.0128,0.74168,0.51517,0.99941,0.96968,0.99888,0.98826,0.8298,0.65678,0.43803,0.92248,0.00119941,0.00119941,0.00119941
87,98.1342,0.71637,0.48947,0.98116,0.97244,0.99297,0.98758,0.81658,0.64818,0.47707,0.92274,0.00119391,0.00119391,0.00119391
88,99.24,0.71886,0.49496,0.98352,0.97479,0.99296,0.99081,0.81432,0.65556,0.46732,0.93398,0.0011884,0.0011884,0.0011884
89,100.349,0.72708,0.47704,0.99079,0.98265,0.9832,0.99351,0.81253,0.66393,0.45563,0.9348,0.0011829,0.0011829,0.0011829
90,101.457,0.74013,0.47453,0.99191,0.97762,0.98777,0.98945,0.81045,0.67451,0.44701,0.92888,0.0011774,0.0011774,0.0011774
91,102.567,0.70655,0.47871,0.96838,0.98348,0.99386,0.98291,0.80212,0.7121,0.42264,0.94186,0.0011719,0.0011719,0.0011719
92,103.879,0.7143,0.45383,0.97377,0.97394,0.99509,0.98488,0.82085,0.66466,0.41514,0.92586,0.0011664,0.0011664,0.0011664
93,104.992,0.72665,0.47264,0.9766,0.96665,0.9871,0.98177,0.82062,0.68186,0.41912,0.93224,0.0011609,0.0011609,0.0011609
94,106.086,0.72493,0.48414,0.9869,0.9761,0.99435,0.99157,0.81861,0.66944,0.43214,0.93336,0.0011554,0.0011554,0.0011554
95,107.193,0.69822,0.45156,0.97452,0.97789,0.99907,0.99032,0.8284,0.64829,0.4448,0.916,0.0011499,0.0011499,0.0011499
96,108.301,0.69941,0.4722,0.97724,0.97034,1,0.99058,0.82264,0.64795,0.42943,0.91058,0.0011444,0.0011444,0.0011444
97,109.408,0.73848,0.47617,0.99936,0.96952,1,0.99189,0.82542,0.66153,0.44083,0.91258,0.00113889,0.00113889,0.00113889
98,110.509,0.75873,0.49898,1.00523,0.97095,1,0.99243,0.83939,0.65731,0.43631,0.9103,0.00113339,0.00113339,0.00113339
99,111.625,0.71181,0.45397,0.95774,0.97093,0.99167,0.99273,0.82681,0.68496,0.45915,0.91944,0.00112789,0.00112789,0.00112789
100,112.731,0.71992,0.46198,0.96628,0.96611,0.99167,0.99046,0.80939,0.70735,0.45478,0.92958,0.00112239,0.00112239,0.00112239
101,113.834,0.73881,0.47764,0.97287,0.96885,1,0.99014,0.81414,0.69558,0.43337,0.92788,0.00111689,0.00111689,0.00111689
102,114.943,0.76482,0.49156,0.9863,0.97704,1,0.99057,0.8141,0.6784,0.41213,0.93086,0.00111139,0.00111139,0.00111139
103,116.065,0.72971,0.47703,0.98191,0.97922,1,0.99083,0.8278,0.68643,0.40719,0.93984,0.00110589,0.00110589,0.00110589
104,117.175,0.70008,0.44471,0.96748,0.96638,0.99119,0.98377,0.82906,0.67864,0.41164,0.92437,0.00110039,0.00110039,0.00110039
105,118.279,0.7058,0.45272,0.96636,0.9737,0.99963,0.98981,0.83835,0.66063,0.40748,0.91303,0.00109489,0.00109489,0.00109489
106,119.384,0.66015,0.43754,0.96633,0.98078,1,0.9913,0.83801,0.64485,0.37923,0.90972,0.00108938,0.00108938,0.00108938
