epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9886,5.08596,4.60121,4.20627,0.00121,0.15944,0.00078,0.00024,5.13912,4.12808,4.15518,0.0003334,0.0003334,0.0003334
2,3.17668,4.48543,3.98661,4.01177,0.00125,0.16624,0.00084,0.00026,5.10845,3.97057,4.13666,0.000682117,0.000682117,0.000682117
3,4.40013,3.92671,3.67083,3.61707,0.00168,0.21726,0.00124,0.00035,5.04752,4.10939,4.08849,0.00102945,0.00102945,0.00102945
4,5.60469,3.52259,3.44814,3.32086,0.00129,0.15838,0.00103,0.00026,5.65074,4.81103,4.70912,0.00137539,0.00137539,0.00137539
5,6.78356,3.10533,3.1799,3.0452,0.0047,0.2094,0.00339,0.00077,5.57087,4.71245,4.67049,0.0016538,0.0016538,0.0016538
6,7.96876,2.90415,3.0278,2.82033,0.00039,0.03146,0.00022,4e-05,5.36226,4.59762,4.45397,0.0016505,0.0016505,0.0016505
7,9.1767,2.82746,2.88184,2.77667,0.50619,0.0068,0.00194,0.00071,4.27325,5.58497,3.70228,0.0016472,0.0016472,0.0016472
8,10.3631,2.80568,2.75699,2.69736,0.58494,0.16667,0.07337,0.02615,2.34105,3.92495,2.75521,0.0016439,0.0016439,0.0016439
9,11.5684,2.60558,2.63663,2.61438,0.13796,0.3429,0.10324,0.03646,2.2492,3.42581,2.60433,0.00164059,0.00164059,0.00164059
10,12.7936,2.47858,2.60339,2.47951,0.19251,0.2179,0.14405,0.05666,2.23648,4.08214,2.58685,0.00163729,0.00163729,0.00163729
11,13.9918,2.37299,2.3959,2.42259,0.70121,0.25,0.27366,0.10473,2.13122,4.52971,2.5162,0.00163399,0.00163399,0.00163399
12,15.1934,2.39005,2.38631,2.4395,0.64898,0.25893,0.31354,0.1393,1.86355,5.89916,2.31736,0.00163069,0.00163069,0.00163069
13,16.4222,2.2115,2.23301,2.30029,0.19977,0.38309,0.19128,0.09192,2.14407,5.01256,2.47594,0.00162739,0.00162739,0.00162739
